State,,County,Percent
TN,57,Marion,0.24
TN,58,Marshall,0.24
TN,59,Maury,0.31
TN,60,Meigs,0.18
TN,61,Monroe,0.18
TN,62,Montgomery,0.42
TN,63,Moore,0.16
TN,64,Morgan,0.14
TN,65,Obion,0.19
TN,66,Overton,0.20
TN,67,Perry,0.18
TN,68,Pickett,0.18
TN,69,Polk,0.18
TN,70,Putnam,0.27
TN,71,Rhea,0.17
TN,72,Roane,0.23
TN,73,Robertson,0.26
TN,74,Rutherford,0.41
TN,75,Scott,0.11
TN,76,Sequatchie,0.18
TN,77,Sevier,0.20
TN,78,Shelby,0.64
TN,79,Smith,0.20
TN,80,Stewart,0.20
TN,81,Sullivan,0.23
TN,82,Sumner,0.30
TN,83,Tipton,0.25
TN,84,Trousdale,0.25
TN,85,Unicoi,0.19
TN,86,Union,0.15
TN,87,Van Buren,0.19
TN,88,Warren,0.25
TN,89,Washington,0.31
TN,90,Wayne,0.12
TN,91,Weakley,0.22
TN,92,White,0.18
TN,93,Williamson,0.36
TN,94,Wilson,0.30
TX,0,Anderson,0.21
TX,1,Andrews,0.15
TX,2,Angelina,0.26
TX,3,Aransas,0.24
TX,4,Archer,0.09
TX,5,Armstrong,0.07
TX,6,Atascosa,0.32
TX,7,Austin,0.20
TX,8,Bailey,0.22
TX,9,Bandera,0.20
TX,10,Bastrop,0.42
TX,11,Baylor,0.11
TX,12,Bee,0.35
TX,13,Bell,0.45
TX,14,Bexar,0.58
TX,15,Blanco,0.26
TX,16,Borden,0.04
TX,17,Bosque,0.17
TX,18,Bowie,0.28
TX,19,Brazoria,0.40
TX,20,Brazos,0.42
TX,21,Brewster,0.47
TX,22,Briscoe,0.11
TX,23,Brooks,0.59
TX,24,Brown,0.13
TX,25,Burleson,0.21
TX,26,Burnet,0.23
TX,27,Caldwell,0.45
TX,28,Calhoun,0.27
TX,29,Callahan,0.11
TX,30,Cameron,0.56
TX,31,Camp,0.28
TX,32,Carson,0.10
TX,33,Cass,0.20
TX,34,Castro,0.22
TX,35,Chambers,0.19
TX,36,Cherokee,0.22
TX,37,Childress,0.14
TX,38,Clay,0.11
TX,39,Cochran,0.18
TX,40,Coke,0.12
TX,41,Coleman,0.11
TX,42,Collin,0.47
TX,43,Collingsworth,0.13
TX,44,Colorado,0.24
TX,45,Comal,0.28
TX,46,Comanche,0.14
TX,47,Concho,0.16
TX,48,Cooke,0.17
TX,49,Coryell,0.32
TX,50,Cottle,0.17
TX,51,Crane,0.16
TX,52,Crockett,0.22
TX,53,Crosby,0.27
TX,54,Culberson,0.51
TX,55,Dallam,0.12
TX,56,Dallas,0.65
TX,57,Dawson,0.21
TX,58,Deaf Smith,0.27
TX,59,Delta,0.16
TX,60,Denton,0.45
TX,61,De Witt,0.18
TX,62,Dickens,0.13
TX,63,Dimmit,0.62
TX,64,Donley,0.12
TX,65,Duval,0.51
TX,66,Eastland,0.12
TX,67,Ector,0.26
TX,68,Edwards,0.16
TX,69,Ellis,0.32
TX,70,El Paso,0.67
TX,71,Erath,0.17
TX,72,Falls,0.31
TX,73,Fannin,0.18
TX,74,Fayette,0.21
TX,75,Fisher,0.19
TX,76,Floyd,0.22
TX,77,Foard,0.18
TX,78,Fort Bend,0.55
TX,79,Franklin,0.16
TX,80,Freestone,0.19
TX,81,Frio,0.46
TX,82,Gaines,0.10
TX,83,Galveston,0.38
TX,84,Garza,0.14
TX,85,Gillespie,0.20
TX,86,Glasscock,0.06
TX,87,Goliad,0.22
TX,88,Gonzales,0.26
TX,89,Gray,0.11
TX,90,Grayson,0.24
TX,91,Gregg,0.31
TX,92,Grimes,0.23
TX,93,Guadalupe,0.37
TX,94,Hale,0.24
TX,95,Hall,0.14
TX,96,Hamilton,0.15
TX,97,Hansford,0.08
TX,98,Hardeman,0.15
TX,99,Hardin,0.13
TX,100,Harris,0.56
TX,101,Harrison,0.27
TX,102,Hartley,0.09
TX,103,Haskell,0.16
TX,104,Hays,0.54
TX,105,Hemphill,0.12
TX,106,Henderson,0.19
TX,107,Hidalgo,0.58
TX,108,Hill,0.19
TX,109,Hockley,0.18
TX,110,Hood,0.17
TX,111,Hopkins,0.19
TX,112,Houston,0.25
TX,113,Howard,0.20
TX,114,Hudspeth,0.32
TX,115,Hunt,0.23
TX,116,Hutchinson,0.11
TX,117,Irion,0.14
TX,118,Jack,0.09
TX,119,Jackson,0.16
TX,120,Jasper,0.19
TX,121,Jeff Davis,0.38
TX,122,Jefferson,0.49
TX,123,Jim Hogg,0.59
TX,124,Jim Wells,0.45
TX,125,Johnson,0.23
TX,126,Jones,0.15
TX,127,Karnes,0.24
TX,128,Kaufman,0.33
TX,129,Kendall,0.23
TX,130,Kenedy,0.34
TX,131,Kent,0.10
TX,132,Kerr,0.24
TX,133,Kimble,0.12
TX,134,King,0.05
TX,135,Kinney,0.28
TX,136,Kleberg,0.49
TX,137,Knox,0.18
TX,138,Lamar,0.21
TX,139,Lamb,0.19
TX,140,Lampasas,0.21
TX,141,La Salle,0.44
TX,142,La Vaca,0.13
TX,143,Lee,0.22
TX,144,Leon,0.12
TX,145,Liberty,0.20
TX,146,Limestone,0.24
TX,147,Lipscomb,0.10
TX,148,Live Oak,0.16
TX,149,Llano,0.24
TX,150,Loving,0.06
TX,151,Lubbock,0.33
TX,152,Lynn,0.19
TX,153,McCulloch,0.14
TX,154,McLennan,0.38
TX,155,McMullen,0.10
TX,156,Madison,0.21
TX,157,Marion,0.28
TX,158,Martin,0.13
TX,159,Mason,0.21
TX,160,Matagorda,0.27
TX,161,Maverick,0.54
TX,162,Medina,0.30
TX,163,Menard,0.19
TX,164,Midland,0.21
TX,165,Milam,0.24
TX,166,Mills,0.11
TX,167,Mitchell,0.15
TX,168,Montague,0.11
TX,169,Montgomery,0.27
TX,170,Moore,0.19
TX,171,Morris,0.30
TX,172,Motley,0.07
TX,173,Nacogdoches,0.34
TX,174,Navarro,0.27
TX,175,Newton,0.19
TX,176,Nolan,0.22
TX,177,Nueces,0.48
TX,178,Ochiltree,0.10
TX,179,Oldham,0.08
TX,180,Orange,0.18
TX,181,Palo Pinto,0.17
TX,182,Panola,0.18
TX,183,Parker,0.17
TX,184,Parmer,0.18
TX,185,Pecos,0.30
TX,186,Polk,0.22
TX,187,Potter,0.30
TX,188,Presidio,0.66
TX,189,Rains,0.14
TX,190,Randall,0.20
TX,191,Reagan,0.15
TX,192,Real,0.16
TX,193,Red River,0.22
TX,194,Reeves,0.38
TX,195,Refugio,0.33
TX,196,Roberts,0.03
TX,197,Robertson,0.29
TX,198,Rockwall,0.31
TX,199,Runnels,0.13
TX,200,Rusk,0.22
TX,201,Sabine,0.12
TX,202,San Augustine,0.25
TX,203,San Jacinto,0.19
TX,204,San Patricio,0.35
TX,205,San Saba,0.11
TX,206,Schleicher,0.18
TX,207,Scurry,0.14
TX,208,Shackelford,0.08
TX,209,Shelby,0.21
TX,210,Sherman,0.09
TX,211,Smith,0.30
TX,212,Somervell,0.16
TX,213,Starr,0.52
TX,214,Stephens,0.10
TX,215,Sterling,0.08
TX,216,Stonewall,0.16
TX,217,Sutton,0.21
TX,218,Swisher,0.20
TX,219,Tarrant,0.49
TX,220,Taylor,0.27
TX,221,Terrell,0.26
TX,222,Terry,0.21
TX,223,Throckmorton,0.09
TX,224,Titus,0.27
TX,225,Tom Green,0.27
TX,226,Travis,0.71
TX,227,Trinity,0.19
TX,228,Tyler,0.15
TX,229,Upshur,0.15
TX,230,Upton,0.12
TX,231,Uvalde,0.39
TX,232,Val Verde,0.44
TX,233,Van Zandt,0.14
TX,234,Victoria,0.30
TX,235,Walker,0.33
TX,236,Waller,0.36
TX,237,Ward,0.19
TX,238,Washington,0.25
TX,239,Webb,0.61
TX,240,Wharton,0.28
TX,241,Wheeler,0.07
TX,242,Wichita,0.29
TX,243,Wilbarger,0.21
TX,244,Willacy,0.56
TX,245,Williamson,0.50
TX,246,Wilson,0.25
TX,247,Winkler,0.17
TX,248,Wise,0.15
TX,249,Wood,0.15
TX,250,Yoakum,0.16
TX,251,Young,0.13
TX,252,Zapata,0.47
TX,253,Zavala,0.65
UT,0,Beaver,0.12
UT,1,Box Elder,0.17
UT,2,Cache,0.29
UT,3,Carbon,0.26
UT,4,Daggett,0.18
UT,5,Davis,0.34
UT,6,Duchesne,0.10
UT,7,Emery,0.12
UT,8,Garfield,0.19
UT,9,Grand,0.54
UT,10,Iron,0.20
UT,11,Juab,0.11
UT,12,Kane,0.26
UT,13,Millard,0.10
UT,14,Morgan,0.17
UT,15,Piute,0.10
UT,16,Rich,0.13
UT,17,Salt Lake,0.54
UT,18,San Juan,0.45
UT,19,Sanpete,0.14
UT,20,Sevier,0.11
UT,21,Summit,0.58
UT,22,Tooele,0.28
UT,23,Uintah,0.11
UT,24,Utah,0.27
UT,25,Wasatch,0.35
UT,26,Washington,0.23
UT,27,Wayne,0.23
UT,28,Weber,0.37
VT,0,Addison_County,0.66
VT,1,Bennington_County,0.61
VT,2,Caledonia_County,0.56
VT,3,Essex_County_VT,0.46
VT,4,Franklin_County,0.51
VT,5,Grand_Isle_County,0.59
VT,6,Lamoille_County,0.63
VT,7,Orange_County_VT,0.59
VT,8,Orleans_County,0.50
VT,9,Rutland_County,0.53
VT,10,Washington_County_VT,0.72
VT,11," Windham_County,",0.68
VT,12,Windsor_County,0.67
VA,0,Accomack,0.45
VA,1,Albemarle,0.66
VA,2,Alleghany,0.27
VA,3,Amelia,0.31
VA,4,Amherst,0.33
VA,5,Appomattox,0.26
VA,6,Arlington,0.81
VA,7,Augusta,0.26
VA,8,Bath,0.26
VA,9,Bedford,0.25
VA,10,Bland,0.15
VA,11,Botetourt,0.27
VA,12,Brunswick,0.57
VA,13,Buchanan,0.16
VA,14,Buckingham,0.43
VA,15,Campbell,0.27
VA,16,Caroline,0.47
VA,17,Carroll,0.18
VA,18,Charles City,0.59
VA,19,Charlotte,0.37
VA,20,Chesterfield,0.52
VA,21,Clarke,0.42
VA,22,Craig,0.19
VA,23,Culpeper,0.39
VA,24,Cumberland,0.42
VA,25,Dickenson,0.21
VA,26,Dinwiddie,0.41
VA,27,Essex,0.49
VA,28,Fairfax,0.70
VA,29,Fauquier,0.40
VA,30,Floyd,0.32
VA,31,Fluvanna,0.47
VA,32,Franklin,0.28
VA,33,Frederick,0.35
VA,34,Giles,0.24
VA,35,Gloucester,0.31
VA,36,Goochland,0.39
VA,37,Grayson,0.19
VA,38,Greene,0.37
VA,39,Greensville,0.57
VA,40,Halifax,0.42
VA,41,Hanover,0.36
VA,42,Henrico,0.64
VA,43,Henry,0.35
VA,44,Highland,0.27
VA,45,Isle of Wight,0.40
VA,46,James City,0.52
VA,47,King and Queen,0.39
VA,48,King George,0.38
VA,49,King William,0.30
VA,50,Lancaster,0.47
VA,51,Lee,0.15
VA,52,Loudoun,0.62
VA,53,Louisa,0.38
VA,54,Lunenburg,0.40
VA,55,Madison,0.33
VA,56,Mathews,0.31
VA,57,Mecklenburg,0.42
VA,58,Middlesex,0.37
VA,59,Montgomery,0.52
VA,60,Nelson,0.46
VA,61,New Kent,0.32
VA,62,Northampton,0.55
VA,63,Northumberland,0.42
VA,64,Nottoway,0.42
VA,65,Orange,0.39
VA,66,Page,0.24
VA,67,Patrick,0.21
VA,68,Pittsylvania,0.30
VA,69,Powhatan,0.27
VA,70,Prince Edward,0.52
VA,71,Prince George,0.41
VA,72,Prince William,0.63
VA,73,Pulaski,0.28
VA,74,Rappahannock,0.42
VA,75,Richmond,0.37
VA,76,Roanoke,0.38
VA,77,Rockbridge,0.33
VA,78,Rockingham,0.29
VA,79,Russell,0.18
VA,80,Scott,0.16
VA,81,Shenandoah,0.29
VA,82,Smyth,0.21
VA,83,Southampton,0.41
VA,84,Spotsylvania,0.46
VA,85,Stafford,0.51
VA,86,Surry,0.54
VA,87,Sussex,0.56
VA,88,Tazewell,0.16
VA,89,Warren,0.31
VA,90,Washington,0.23
VA,91,Westmoreland,0.45
VA,92,Wise,0.19
VA,93,Wythe,0.21
VA,94,York,0.46
VA,95,Alexandria,0.81
VA,96,Bristol,0.30
VA,97,Buena Vista,0.29
VA,98,Charlottesville,0.86
VA,99,Chesapeake,0.52
VA,100,Colonial Heights,0.33
VA,101,Covington,0.37
VA,102,Danville,0.61
VA,103,Emporia,0.68
VA,104,Fairfax City,0.69
VA,105,Falls Church,0.82
VA,106,Franklin City,0.62
VA,107,Fredericksburg,0.67
VA,108,Galax,0.30
VA,109,Hampton,0.70
VA,110,Harrisonburg,0.65
VA,111,Hopewell,0.57
VA,112,Lexington,0.65
VA,113,Lynchburg,0.50
VA,114,Manassas,0.61
VA,115,Manassas Park,0.65
VA,116,Martinsville,0.63
VA,117,Newport News,0.65
VA,118,Norfolk,0.72
VA,119,Norton,0.29
VA,120,Petersburg,0.88
VA,121,Poquoson,0.26
VA,122,Portsmouth,0.70
VA,123,Radford,0.53
VA,124,Richmond City,0.83
VA,125,Roanoke City,0.62
VA,126,Salem,0.39
VA,127,Staunton,0.54
VA,128,Suffolk,0.58
VA,129,Virginia Beach,0.52
VA,130,Waynesboro,0.47
VA,131,Williamsburg,0.70
VA,132,Winchester,0.55
WA,0,Adams,0.31
WA,1,Asotin,0.36
WA,2,Benton,0.38
WA,3,Chelan,0.45
WA,4,Clallam,0.50
WA,5,Clark,0.51
WA,6,Columbia,0.27
WA,7,Cowlitz,0.40
WA,8,Douglas,0.37
WA,9,Ferry,0.34
WA,10,Franklin,0.41
WA,11,Garfield,0.25
WA,12,Grant,0.32
WA,13,Grays Harbor,0.46
WA,14,Island,0.55
WA,15,Jefferson,0.70
WA,16,King,0.76
WA,17,Kitsap,0.57
WA,18,Kittitas,0.43
WA,19,Klickitat,0.44
WA,20,Lewis,0.32
WA,21,Lincoln,0.25
WA,22,Mason,0.47
WA,23,Okanogan,0.42
WA,24,Pacific,0.49
WA,25,Pend Oreille,0.31
WA,26,Pierce,0.54
WA,27,San Juan,0.75
WA,28,Skagit,0.52
WA,29,Skamania,0.44
WA,30,Snohomish,0.59
WA,31,Spokane,0.46
WA,32,Stevens,0.28
WA,33,Thurston,0.58
WA,34,Wahkiakum,0.39
WA,35,Walla Walla,0.44
WA,36,Whatcom,0.61
WA,37,Whitman,0.53
WA,38,Yakima,0.45
WV,0,Barbour,0.22
WV,1,Berkeley,0.33
WV,2,Boone,0.23
WV,3,Braxton,0.26
WV,4,Brooke,0.28
WV,5,Cabell,0.40
WV,6,Calhoun,0.19
WV,7,Clay,0.19
WV,8,Doddridge,0.14
WV,9,Fayette,0.30
WV,10,Gilmer,0.23
WV,11,Grant,0.11
WV,12,Greenbrier,0.29
WV,13,Hampshire,0.19
WV,14,Hancock,0.28
WV,15,Hardy,0.22
WV,16,Harrison,0.30
WV,17,Jackson,0.24
WV,18,Jefferson,0.44
WV,19,Kanawha,0.42
WV,20,Lewis,0.21
WV,21,Lincoln,0.22
WV,22,Logan,0.18
WV,23,McDowell,0.20
WV,24,Marion,0.35
WV,25,Marshall,0.25
WV,26,Mason,0.23
WV,27,Mercer,0.22
WV,28,Mineral,0.21
WV,29,Mingo,0.14
WV,30,Monongalia,0.48
WV,31,Monroe,0.21
WV,32,Morgan,0.23
WV,33,Nicholas,0.21
WV,34,Ohio,0.36
WV,35,Pendleton,0.22
WV,36,Pleasants,0.20
WV,37,Pocahontas,0.26
WV,38,Preston,0.22
WV,39,Putnam,0.28
WV,40,Raleigh,0.24
WV,41,Randolph,0.28
WV,42,Ritchie,0.14
WV,43,Roane,0.25
WV,44,Summers,0.26
WV,45,Taylor,0.24
WV,46,Tucker,0.24
WV,47,Tyler,0.16
WV,48,Upshur,0.22
WV,49,Wayne,0.24
WV,50,Webster,0.18
WV,51,Wetzel,0.23
WV,52,Wirt,0.18
WV,53,Wood,0.28
WV,54,Wyoming,0.14
WI,0,Adams,0.37
WI,1,Ashland,0.55
WI,2,Barron,0.36
WI,3,Bayfield,0.57
WI,4,Brown,0.46
WI,5,Buffalo,0.37
WI,6,Burnett,0.35
WI,7,Calumet,0.39
WI,8,Chippewa,0.39
WI,9,Clark,0.30
WI,10,Columbia,0.49
WI,11,Crawford,0.46
WI,12,Dane,0.76
WI,13,Dodge,0.34
WI,14,Door,0.50
WI,15,Douglas,0.54
WI,16,Dunn,0.42
WI,17,Eau Claire,0.54
WI,18,Florence,0.27
WI,19,Fond du Lac,0.36
WI,20,Forest,0.34
WI,21,Grant,0.43
WI,22,Green,0.51
WI,23,Green Lake,0.31
WI,24,Iowa,0.56
WI,25,Iron,0.38
WI,26,Jackson,0.42
WI,27,Jefferson,0.42
WI,28,Juneau,0.35
WI,29,Kenosha,0.48
WI,30,Kewaunee,0.33
WI,31,La Crosse,0.56
WI,32,Lafayette,0.43
WI,33,Langlade,0.33
WI,34,Lincoln,0.38
WI,35,Manitowoc,0.38
WI,36,Marathon,0.40
WI,37,Marinette,0.32
WI,38,Marquette,0.36
WI,39,Menominee,0.82
WI,40,Milwaukee,0.69
WI,41,Monroe,0.37
WI,42,Oconto,0.29
WI,43,Oneida,0.42
WI,44,Outagamie,0.44
WI,45,Ozaukee,0.43
WI,46,Pepin,0.36
WI,47,Pierce,0.42
WI,48,Polk,0.36
WI,49,Portage,0.50
WI,50,Price,0.36
WI,51,Racine,0.47
WI,52,Richland,0.44
WI,53,Rock,0.55
WI,54,Rusk,0.32
WI,55,St. Croix,0.41
WI,56,Sauk,0.50
WI,57,Sawyer,0.43
WI,58,Shawano,0.32
WI,59,Sheboygan,0.41
WI,60,Taylor,0.25
WI,61,Trempealeau,0.41
WI,62,Vernon,0.47
WI,63,Vilas,0.38
WI,64,Walworth,0.40
WI,65,Washburn,0.37
WI,66,Washington,0.30
WI,67,Waukesha,0.39
WI,68,Waupaca,0.33
WI,69,Waushara,0.32
WI,70,Winnebago,0.47
WI,71,Wood,0.40
WY,0,Albany,0.49
WY,1,Big Horn,0.14
WY,2,Campbell,0.10
WY,3,Carbon,0.21
WY,4,Converse,0.12
WY,5,Crook,0.09
WY,6,Fremont,0.31
WY,7,Goshen,0.19
WY,8,Hot Springs,0.19
WY,9,Johnson,0.18
WY,10,Laramie,0.34
WY,11,Lincoln,0.14
WY,12,Natrona,0.24
WY,13,Niobrara,0.12
WY,14,Park,0.20
WY,15,Platte,0.18
WY,16,Sheridan,0.25
WY,17,Sublette,0.18
WY,18,Sweetwater,0.23
WY,19,Teton,0.67
WY,20,Uinta,0.17
WY,21,Washakie,0.16
WY,22,Weston,0.10
